time,x,y,altitude
0.1,6.77088e+06,680.043,399.88
0.2,6.77076e+06,1360.09,399.76
0.3,6.77064e+06,2040.13,399.64
0.4,6.77052e+06,2720.17,399.52
0.5,6.7704e+06,3400.22,399.4
0.6,6.77028e+06,4080.26,399.28
0.7,6.77016e+06,4760.3,399.16
0.8,6.77004e+06,5440.34,399.04
0.9,6.76992e+06,6120.39,398.92
1,6.7698e+06,6800.43,398.8
1.1,6.76968e+06,7480.47,398.68
1.2,6.76955e+06,8160.51,398.56
1.3,6.76943e+06,8840.56,398.44
1.4,6.76931e+06,9520.6,398.319
1.5,6.76919e+06,10200.6,398.199
1.6,6.76907e+06,10880.7,398.079
1.7,6.76895e+06,11560.7,397.959
1.8,6.76883e+06,12240.8,397.839
1.9,6.76871e+06,12920.8,397.718
2,6.76858e+06,13600.9,397.598
2.1,6.76846e+06,14280.9,397.478
2.2,6.76834e+06,14960.9,397.357
2.3,6.76822e+06,15641,397.237
2.4,6.7681e+06,16321,397.117
2.5,6.76798e+06,17001.1,396.996
2.6,6.76785e+06,17681.1,396.876
2.7,6.76773e+06,18361.1,396.756
2.8,6.76761e+06,19041.2,396.635
2.9,6.76749e+06,19721.2,396.515
3,6.76736e+06,20401.3,396.394
3.1,6.76724e+06,21081.3,396.274
3.2,6.76712e+06,21761.3,396.153
3.3,6.767e+06,22441.4,396.033
3.4,6.76687e+06,23121.4,395.912
3.5,6.76675e+06,23801.4,395.792
3.6,6.76663e+06,24481.5,395.671
3.7,6.7665e+06,25161.5,395.551
3.8,6.76638e+06,25841.6,395.43
3.9,6.76626e+06,26521.6,395.309
4,6.76613e+06,27201.6,395.189
4.1,6.76601e+06,27881.7,395.068
4.2,6.76589e+06,28561.7,394.947
4.3,6.76576e+06,29241.7,394.827
4.4,6.76564e+06,29921.8,394.706
4.5,6.76552e+06,30601.8,394.585
4.6,6.76539e+06,31281.8,394.464
4.7,6.76527e+06,31961.9,394.344
4.8,6.76514e+06,32641.9,394.223
4.9,6.76502e+06,33321.9,394.102
5,6.7649e+06,34002,393.981
5.1,6.76477e+06,34682,393.86
5.2,6.76465e+06,35362,393.739
5.3,6.76452e+06,36042.1,393.619
5.4,6.7644e+06,36722.1,393.498
5.5,6.76427e+06,37402.1,393.377
5.6,6.76415e+06,38082.2,393.256
5.7,6.76402e+06,38762.2,393.135
5.8,6.7639e+06,39442.2,393.014
5.9,6.76377e+06,40122.2,392.893
6,6.76365e+06,40802.3,392.772
6.1,6.76352e+06,41482.3,392.651
6.2,6.7634e+06,42162.3,392.53
6.3,6.76327e+06,42842.4,392.409
6.4,6.76315e+06,43522.4,392.288
6.5,6.76302e+06,44202.4,392.166
6.6,6.7629e+06,44882.4,392.045
6.7,6.76277e+06,45562.5,391.924
6.8,6.76264e+06,46242.5,391.803
6.9,6.76252e+06,46922.5,391.682
7,6.76239e+06,47602.5,391.561
7.1,6.76227e+06,48282.5,391.439
7.2,6.76214e+06,48962.6,391.318
7.3,6.76201e+06,49642.6,391.197
7.4,6.76189e+06,50322.6,391.076
7.5,6.76176e+06,51002.6,390.954
7.6,6.76164e+06,51682.6,390.833
7.7,6.76151e+06,52362.7,390.712
7.8,6.76138e+06,53042.7,390.59
7.9,6.76126e+06,53722.7,390.469
8,6.76113e+06,54402.7,390.348
8.1,6.761e+06,55082.7,390.226
8.2,6.76087e+06,55762.7,390.105
8.3,6.76075e+06,56442.7,389.983
8.4,6.76062e+06,57122.8,389.862
8.5,6.76049e+06,57802.8,389.74
